text_a,text_b,label
Apex Industrial Tools Pvt Ltd,Apex Ind. Tools Private Limited,1
Kirloskar Engineering Supplies,Kirloskar Engg Supplies,1
Bharat Precision Fasteners Co.,Bharat Precision Fasteners,1
Mahindra Tooling & Forging Ltd,Mahindra Tooling & Forgings,1
Shree Ganesh Hydraulic Spares,Shri Ganesh Hydraulics,1
National Electricals & Controls,National Electricals Controls Pvt Ltd,1
Vanguard Steel & Alloys Corp,Vanguard Steel and Alloys Corporation,1
Omkar Industrial Hardware,Omkar Ind. Hardware Store,1
TechnoMech Automation Solutions,Techno Mech Automation,1
Premier Bearings & Power Transmission,Premier Bearings and Power Trans.,1
Tata Steel Processing and Distribution Ltd,Tata Steel Processing & Dist. Ltd,1
Godrej Tooling Division,Godrej & Boyce Tooling Div,1
L&T Electrical & Automation,Larsen & Toubro Electrical Automation,1
Bosch Rexroth India Pvt Ltd,Bosch Rexroth (India) Private Limited,1
SKF India Limited,SKF India Ltd,1
FAG Bearings India,FAG Bearings (Schaeffler Group),1
Schneider Electric India,Schneider Electric Ind Pvt Ltd,1
Havells India Ltd,Havells India Limited,1
Finolex Cables Limited,Finolex Cables Ltd,1
Polycab India Limited,Polycab Wires & Cables,1
Apex Industrial Tools Pvt Ltd,Premier Bearings & Power Transmission,0
Kirloskar Engineering Supplies,Bharat Precision Fasteners,0
Mahindra Tooling & Forging Ltd,Omkar Industrial Hardware,0
Shree Ganesh Hydraulic Spares,TechnoMech Automation Solutions,0
National Electricals & Controls,Vanguard Steel & Alloys Corp,0
Tata Steel Processing and Distribution Ltd,Godrej Tooling Division,0
SKF India Limited,Bosch Rexroth India Pvt Ltd,0
Schneider Electric India,Finolex Cables Limited,0
Havells India Ltd,Polycab India Limited,0
Omkar Industrial Hardware,Apex Ind. Tools Private Limited,0
Bharat Precision Fasteners,Tata Steel Processing & Dist. Ltd,0
Kirloskar Engg Supplies,L&T Electrical & Automation,0
FAG Bearings India,Shri Ganesh Hydraulics,0
National Electricals Controls Pvt Ltd,Mahindra Tooling & Forgings,0
Vanguard Steel and Alloys Corporation,Schneider Electric India,0
Premier Bearings and Power Trans.,Havells India Ltd,0
Techno Mech Automation,SKF India Ltd,0
Godrej & Boyce Tooling Div,Apex Industrial Tools Pvt Ltd,0
Larsen & Toubro Electrical Automation,Omkar Ind. Hardware Store,0
Polycab Wires & Cables,Finolex Cables Limited,0
