text,label
"COMMERCIAL PURCHASE ORDER
Order ID: PO-2024-5111
Vendor Name: Vanguard Steel & Alloys Corp
Billing Address: Plot 45, Industrial Estate, Pune
Date of Order: 05-08-2024
Scope of Supply:
- Carbon Steel Seamless Pipe 2 inch NB (Qty: 500, Unit Price: 665.85, Amount: 332925.00)
Payment: 100% against Delivery Note and Tax Invoice.
Authorized by Procurement Manager.",PURCHASE_ORDER
"FORMAL PRICE PROPOSAL
Quote ID: QUO-2024-807
Date: 01-01-2024
Customer: MSME Manufacturing
Supplier: TechnoMech Automation Solutions
Estimated Schedule of Rates:
1. High Tensile Flange Nut M12 - Unit Rate: INR 18.08 (MOQ: 50 PCS)
GST: 18% extra
Delivery: Ex-works Pune
Warranty: 12 months from delivery date.
Commercial Terms: 100% against delivery.
Authorized Signatory: TechnoMech Automation Solutions",QUOTATION
"DEBIT NOTE
Debit Note No: DC-8510
Debit Note Date: 27-01-2024
Against Original Invoice: INV-2425-75461
Issued By: Premier Bearings & Power Transmission
GSTIN: 27AABC3579A1Z1
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Nitrile Rubber O-Ring Kit 200pcs
Underbilled Amount: Rs. 4050.96
Applicable GST (18%): Rs. 729.17
Total Debit Value: Rs. 4780.13
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"DELIVERY RECEIPT & DISPATCH SLIP
DN Number: DC-7627
Dispatch Date: 17-01-2024
Purchase Order: PO-2024-4129
Supplier: TechnoMech Automation Solutions
Destination: Industrial Warehouse Sector 5
List of Items:
Item: Viton Seal Gasket 100mm OD | Qty Delivered: 100 | Unit: PCS | Batch No: B-2024-09
Security Gate Entry No: G-4412
Storekeeper Signature: _____________
Date & Time Received: 17-01-2024 14:30 hrs",DELIVERY_NOTE
"DEBIT NOTE
Debit Note No: DC-7639
Debit Note Date: 25-07-2024
Against Original Invoice: INV-2425-74032
Issued By: Mahindra Tooling & Forging Ltd
GSTIN: 27AABC2313A1Z2
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Pneumatic Cylinder Double Acting 50mm Bore
Underbilled Amount: Rs. 112541.76
Applicable GST (18%): Rs. 20257.52
Total Debit Value: Rs. 132799.28
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"PAYMENT ADVICE & RECEIPT
Payment Slip Ref: PAY-REC-741699
Date of Remittance: 03-08-2024
Vendor: Kirloskar Engineering Supplies
Against Bill/Invoice No: INV-2425-63920
Cheque/NEFT No: 882910
Paid Amount: INR 29134.20
Deductions (TDS/Retention): Rs. 0.00
Total Cleared: INR 29134.20
Received with thanks from MSME Industries.",PAYMENT_RECEIPT
"GOODS DELIVERY CHALLAN
Challan Ref: DC-6120
Date: 25-02-2024
PO Reference: PO-2024-1850
From: Shree Ganesh Hydraulic Spares
To: MSME Engineering Works, Plot 8, MIDC Pune
Mode of Transport: Tempo MH-14-BT-1122
LR / GC No: 994821
Particulars:
- High Tensile Flange Nut M12 : Quantity Delivered: 10 PCS
Remarks: Material subject to quality inspection at gate.
Inspected & Received in good order.",DELIVERY_NOTE
"PAYMENT ADVICE & RECEIPT
Payment Slip Ref: PAY-REC-100219
Date of Remittance: 08-03-2024
Vendor: Vanguard Steel & Alloys Corp
Against Bill/Invoice No: INV-2425-53075
Cheque/NEFT No: 882910
Paid Amount: INR 48185.54
Deductions (TDS/Retention): Rs. 0.00
Total Cleared: INR 48185.54
Received with thanks from MSME Industries.",PAYMENT_RECEIPT
"CREDIT NOTE
Credit Note No: CN-2425-704
Credit Note Date: 14-09-2024
Original Tax Invoice Ref: INV-2425-33598
Original Invoice Date: 12-08-2024
Issued By: Bharat Precision Fasteners
GSTIN: 27AABC5796A1Z7
Issued To: MSME Manufacturing Ltd
Reason for Credit: Rate difference / Return of damaged goods / Post-sale discount
Particulars:
Item: Tungsten Carbide Milling Insert TNMG160408
Quantity Returned / Adjusted: 50 BOX
Unit Rate: Rs. 1430.45
Credit Amount (Taxable): Rs. 7296.71
CGST 9%: Rs. 656.70
SGST 9%: Rs. 656.70
Total Credit Note Amount: Rs. 8610.12
We have credited your account with the above amount.",CREDIT_NOTE
"DEBIT NOTE
Debit Note No: DC-5103
Debit Note Date: 16-08-2024
Against Original Invoice: INV-2425-72543
Issued By: Apex Industrial Tools Pvt Ltd
GSTIN: 27AABC9326A1Z3
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Viton Seal Gasket 100mm OD
Underbilled Amount: Rs. 59.71
Applicable GST (18%): Rs. 10.75
Total Debit Value: Rs. 70.46
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
