text_a,text_b,label
Stainless Steel Bolt M10,SS Bolt 10mm,1
Industrial Nut M10,M10 Industrial Nut,1
Hex Head Bolt M12x50 Grade 8.8,M12x50 Hex Bolt Gr 8.8,1
Ball Bearing 6205-2RS Deep Groove,Deep Groove Ball Bearing 6205 2RS,1
"Hydraulic Pressure Relief Valve 1/2""",1/2 Inch Hydraulic Relief Valve,1
Nitrile Rubber O-Ring 50x3mm,NBR O Ring 50mm x 3mm,1
Double Acting Pneumatic Cylinder 50 Bore,Pneumatic Cylinder Double Acting 50mm,1
"Carbon Steel Seamless Pipe 2"" NB Sch 40",CS Seamless Pipe 2 Inch Sch40,1
Tungsten Carbide Insert TNMG 160408,Carbide Milling Insert TNMG160408,1
Viton Rubber Gasket 100mm OD,100mm OD Viton Gasket Seal,1
Digital Vernier Caliper 150mm / 6 inch,Vernier Caliper Digital 0-150mm,1
Helical Gear 24 Teeth Module 2.5,24T Helical Pinion Gear Mod 2.5,1
Alloy Steel Stud M16x100mm,M16 x 100 mm Alloy Stud,1
Teflon Sheet 3mm Thick 1x1m,PTFE Sheet 3mm Thickness 1000x1000mm,1
"High Pressure Hydraulic Hose 1/2"" 2SN",1/2 inch 2-Wire Hydraulic Hose,1
Steel Washer M10,Plastic Washer M10,0
Stainless Steel Bolt M10,Stainless Steel Bolt M12,0
Ball Bearing 6205-2RS,Ball Bearing 6206-2RS,0
Nitrile Rubber O-Ring 50x3mm,Viton Rubber O-Ring 50x3mm,0
Pneumatic Cylinder 50 Bore,Hydraulic Cylinder 50 Bore,0
"Carbon Steel Seamless Pipe 2""","Stainless Steel Seamless Pipe 2""",0
Tungsten Carbide Insert TNMG 160408,Carbide Insert WNMG 080408,0
Digital Vernier Caliper 150mm,Digital Micrometer 0-25mm,0
Alloy Steel Stud M16x100mm,Alloy Steel Stud M16x150mm,0
"High Pressure Hydraulic Hose 1/2""","High Pressure Hydraulic Hose 3/4""",0
Hex Nut M10 Brass,Hex Nut M10 Stainless Steel,0
Helical Gear 24 Teeth,Spur Gear 24 Teeth,0
Teflon Sheet 3mm Thick,Rubber Sheet 3mm Thick,0
"Pressure Relief Valve 1/2""","Flow Control Valve 1/2""",0
Deep Groove Ball Bearing 6205,Taper Roller Bearing 30205,0
